# Server version 0.08 running on 142.157.60.11:8123
# Game ID: 101
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 17:59:24 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 142.157.60.11
# Player 2: Player-1, '260520591', running on 142.157.60.11
START Player-0 RandomHusPlayer
START Player-1 260520591
PIT 0 8
PIT 1 2
PIT 0 9
PIT 1 18
PIT 0 2
PIT 1 20
PIT 0 14
PIT 1 15
PIT 0 0
PIT 1 26
PIT 0 1
PIT 1 14
PIT 0 21
PIT 1 12
PIT 0 2
PIT 1 9
PIT 0 15
PIT 1 1
PIT 0 16
PIT 1 23
PIT 0 3
PIT 1 22
PIT 0 5
PIT 1 31
PIT 0 11
PIT 1 19
PIT 0 21
PIT 1 14
PIT 0 8
PIT 1 23
PIT 0 23
PIT 1 20
PIT 0 13
PIT 1 19
PIT 0 24
PIT 1 31
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 17:59:25 EDT 2016
